73,Meteorological,Storm,Tropical cyclone,6,6,2008,2008,644,826,0,4785460
74,Meteorological,Storm,Tropical cyclone,7,7,2014,2014,111,1250,0,4654966
75,Meteorological,Storm,Tropical cyclone,9,10,2009,2009,512,207,0,4478491
76,Hydrological,Flood,Riverine flood,8,8,2012,2012,112,14,0,4451725
77,Meteorological,Storm,Tropical cyclone,12,12,2014,2014,18,916,0,4150400
78,Meteorological,Storm,Tropical cyclone,9,10,2006,2006,228,406,0,3842406
79,Meteorological,Storm,Tropical cyclone,9,9,2018,2018,84,138,0,3800138
80,Geophysical,Earthquake,Ground movement,5,5,2006,2006,5778,137883,699295,3177923
81,Geophysical,Earthquake,Ground movement,9,9,2009,2009,1195,1798,0,2501798
82,Geophysical,Earthquake,Tsunami,9,9,2018,2018,4140,0,0,2000000
83,Hydrological,Flood,Flash flood,12,1,2006,2007,236,0,0,618486
84,Geophysical,Earthquake,Ground movement,8,8,2018,2018,564,1584,70000,516927
85,Hydrological,Flood,Flash flood,12,1,2019,2020,66,110,0,501110
86,Geophysical,Earthquake,Ground movement,9,9,2007,2007,25,82,36800,459567
87,Climatological,Wildfire,Forest fire,9,12,2015,2015,19,0,0,409664
88,Geophysical,Earthquake,Ground movement,9,9,2009,2009,128,1442,0,339792
89,Hydrological,Flood,Riverine flood,6,6,2017,2017,4,0,75,282420
