QOL_Key,Maternal_Leave_Benefits,Access_To_Basic_Drinking_Water_Total,Access_To_Basic_Drinking_Water_Urban,Access_To_Basic_Sanitation_Total,Access_To_Basic_Sanitation_Urban,Access_To_Managed_Drinking_Water_Total,Access_To_Managed_Sanitation_Total,Access_To_Basic_Handwashing_Facilities_Total,Access_To_Basic_Handwashing_Facilities_Urban,Unemployment_Female,Unemployment_Male,Unemployment_Total
0,,83.76284924,96.31821847,40.4716573,52.04992026,,32.53443214,,,3.1029999256134,2.11500000953674,2.54399991035461
1,,84.48315277,96.50536226,41.5813814,52.91213855,,33.43165522,,,3.20799994468689,2.08500003814697,2.57599997520447
2,,85.1929341,96.69251362,43.17945511,54.36738983,,34.72125995,,,3.37100005149841,2.10199999809265,2.64599990844727
3,,85.89324953,96.87967255,44.80062579,55.84165849,,36.02920376,,,3.38599991798401,2.00099992752075,2.59999990463257
4,100.0,86.58319782,97.06683906,46.44376636,57.33494455,,37.35459872,,,3.62199997901917,2.46799993515015,2.97000002861023
5,,87.26318343,97.25401313,48.10902933,58.84724799,,38.6975507,26.67097403,29.08491562,3.15700006484985,2.20099997520447,2.61400008201599
6,100.0,87.93356681,97.44119478,49.7965629,60.37856882,,40.05816061,26.70289996,29.08491562,2.68300008773804,1.92200005054474,2.25
7,,88.59412659,97.628384,51.50589073,61.92890703,,41.43604754,26.73461087,29.08491562,2.83500003814697,1.51400005817413,2.0699999332428
8,100.0,89.23058742,97.81558079,53.21966433,63.49826263,,42.81789635,26.7622233,29.08491562,3.03299999237061,2.00200009346008,2.44000005722046
9,,89.85011389,98.00278515,54.94452469,65.08663562,,44.20886732,26.7872485,29.08491562,2.87800002098084,1.37300002574921,2.01999998092651
10,100.0,90.46214101,98.18999708,56.69117865,66.694026,,45.61717777,26.81212733,29.08491562,3.8050000667572,2.63000011444092,3.10999989509583
11,,91.06696927,98.37721658,58.45982722,68.32043377,,47.04296958,26.83693636,29.08491562,4.04300022125244,3.09999990463257,3.5
12,100.0,91.66415923,98.56444366,60.24970578,69.96585892,,48.48564858,26.86152814,29.08491562,4.05299997329712,3.34299993515015,3.65000009536743
13,,92.25507792,98.75167831,62.06257966,71.63030146,,49.94654184,26.8863367,29.08491562,3.61500000953674,3.44400000572205,3.51999998092651
14,,92.82597527,98.93689831,63.89830649,73.31376139,,51.4255202,26.91136135,29.08491562,4.39599990844727,3.38299989700317,3.8199999332428
15,,93.39007163,99.12211832,65.75642485,75.0162387,,52.92221398,26.93652778,29.08491562,9.84000015258789,6.45900011062622,7.90000009536743
16,,53.55262931,84.33345361,45.88705604,42.75151318,,,5.923064805,24.44170866,1.17900002002716,2.09699988365173,1.62000000476837
17,,54.14023166,84.78909277,45.9023902,42.77542669,,,5.972516221,24.44170866,1.15900003910065,2.1010000705719,1.61199998855591
18,,54.7308721,85.24425621,45.91453178,42.77910947,,,6.02298909,24.44170866,1.15299999713898,2.13700008392334,1.62699997425079
19,,55.32519947,85.69894392,45.92326435,42.76256151,,,6.074892354,24.44170866,1.13900005817413,2.15799999237061,1.62999999523163
20,100.0,55.92217472,86.15315591,45.92854494,42.72578282,,,6.087436782,23.98248033,1.14300000667572,2.13899993896484,1.62300002574921
21,,56.52311691,86.60689217,45.93007051,42.66877339,,,6.099128521,23.523252,1.14199995994568,2.10800004005432,1.60800004005432
22,100.0,57.12766023,87.0601527,45.92771181,42.59153323,,,6.109665173,23.06402367,1.14600002765656,2.08999991416931,1.60199999809265
23,,57.73543332,87.51293751,45.92132836,42.49406233,,,6.118762666,22.60479534,1.14699995517731,2.06500005722046,1.5900000333786
24,100.0,58.34740313,87.9652466,45.91061519,42.3763607,,,6.12687961,22.14556701,1.14800000190735,2.03900003433228,1.57799994945526
25,,58.96254221,88.41707995,45.89550768,42.23842833,,,6.133361608,21.68633868,1.15199995040894,2.01900005340576,1.57000005245209
26,100.0,59.58146925,88.86843759,45.87571182,42.08026523,,,6.138466723,21.22711035,1.18499994277954,2.04399991035461,1.60000002384186
27,,60.20415097,89.31931949,45.85101814,41.90187139,,,6.142083348,20.76788202,1.192999958992,2.01600003242493,1.5900000333786
28,100.0,60.83054996,89.76972568,45.82120595,41.70324682,,,6.144099344,20.30865369,1.2059999704361,1.99800002574921,1.58899998664856
29,,61.46062113,90.21965613,45.78603939,41.48439152,,,6.144402361,19.84942535,1.21800005435944,1.98099994659424,1.58700001239777
30,,62.09432063,90.66911086,45.74527589,41.24530548,,,6.142880037,19.39019702,1.23300004005432,1.96899998188019,1.58899998664856
31,,62.20712225,90.66911086,45.72751068,41.24530548,,,6.195175517,19.39019702,1.33700001239777,2.1010000705719,1.70700001716614
32,,99.23464422,99.48998183,99.80519484,99.92909847,98.24079534,78.8857635,,,6.46600008010864,7.01700019836426,6.76000022888184
33,,99.23461957,99.47343153,99.75033789,99.86800895,98.29946776,79.28068911,,,6.09200000762939,6.52199983596802,6.32000017166138
34,,99.23549716,99.45688123,99.69595411,99.80691943,98.35997369,79.67517216,,,5.65299987792969,6.38399982452393,6.03999996185303
35,,99.23607708,99.44033093,99.6414571,99.74582992,98.41990954,80.06894984,,,5.65199995040894,6.57200002670288,6.1399998664856
36,40.0,99.23635504,99.42378064,99.5868457,99.6847404,98.47926264,80.46202275,,,7.00500011444092,9.53299999237061,8.34000015258789
37,,99.23634886,99.40723034,99.53213067,99.62365088,98.53806358,80.85439848,,,7.24300003051758,8.79399967193604,8.0600004196167
38,35.0,99.23589396,99.39068004,99.47721571,99.56256136,98.59599042,81.24600912,,,7.00899982452393,7.95900011062622,7.51000022888184
39,,99.23432608,99.37412975,99.42171918,99.50147184,98.65168006,81.636549,,,6.81699991226196,7.71600008010864,7.28999996185303
40,37.0,99.23268617,99.35757945,99.36619078,99.44038232,98.70725106,82.02636889,,,6.59700012207031,7.49700021743774,7.07000017166138
41,,99.23098502,99.34102915,99.31064352,99.3792928,98.76270793,82.41547978,,,6.38899993896484,7.37799978256226,6.90999984741211
42,55.0,99.22922139,99.32447885,99.25507123,99.31820329,98.81806216,82.80387768,,,6.29199981689453,7.46199989318848,6.90999984741211
43,,99.22739547,99.30792856,99.19947682,99.25711377,98.87330686,83.1915656,,,6.24100017547607,7.68100023269653,7.0
44,55.0,99.22553764,99.29137826,99.14388406,99.19602425,98.92850562,83.5785755,,,5.85099983215332,6.7810001373291,6.34000015258789
45,,99.22363119,99.27482796,99.08828896,99.13493473,98.98362633,83.97367373,,,5.48899984359741,6.13899993896484,5.82999992370605
46,,99.22164984,99.25827766,99.03268117,99.07384521,99.03861451,84.36813002,,,5.25,6.03000020980835,5.65999984741211
47,,99.22181066,99.25827766,99.03286158,99.07384521,99.03894727,84.36839322,,,9.38599967956543,9.52600002288818,9.46000003814697
48,,41.14046577,75.18878159,10.0540648,25.26207722,5.629369492,8.712721622,14.6701275,40.12006386,0.495000004768372,1.15900003910065,0.871999979019165
49,,41.45868775,75.18653226,10.09345288,25.79730485,5.622973716,8.735437119,14.68086719,40.12006386,0.523000001907349,1.20299994945526,0.910000026226044
50,,41.7757177,75.17511323,10.13347221,26.33253249,5.615456526,8.758663425,14.69193207,40.12006386,0.541000008583069,1.21200001239777,0.925000011920929
51,,42.09069088,75.1545245,10.1737152,26.86776012,5.606561025,8.782082065,14.70267215,40.12006386,0.560000002384186,1.22699999809265,0.941999971866608
52,50.0,42.40402243,75.12476608,10.25719015,27.84476727,5.59641721,8.834288152,15.5800317,39.65568694,0.578000009059906,1.2389999628067,0.958999991416931
53,,42.72317538,75.08583795,10.35163901,28.83903184,5.58746767,8.895495427,16.46151145,39.19131003,0.592000007629395,1.23599994182587,0.96399998664856
54,50.0,43.04789724,75.03774011,10.45771327,29.85055385,5.579809414,8.966240509,17.34618878,38.72693311,0.620000004768372,1.27600002288818,1.0
55,,43.37833546,74.98047258,10.57634299,30.87933329,5.573681701,9.047280285,18.23340101,38.2625562,0.63400000333786,1.27400004863739,1.00600004196167
56,50.0,43.71380254,74.91403535,10.70797494,31.92537017,5.569050119,9.138990094,19.12193481,37.79817928,0.656000018119812,1.2960000038147,1.02900004386902
57,,44.05402607,74.83842841,10.85331183,32.98866447,5.566019428,9.241946941,20.0108734,37.33380237,0.675000011920929,1.30900001525879,1.0460000038147
58,50.0,44.39909697,74.75365178,11.01336536,34.06921621,5.564838707,9.356973052,20.89949828,36.86942545,0.698000013828278,1.33299994468689,1.07099997997284
59,,44.74869976,74.65970544,11.18890461,35.16702538,5.565620778,9.484698858,21.78683825,36.40504854,0.726000010967255,1.36800003051758,1.10399997234344
60,50.0,45.10250956,74.55658941,11.38071688,36.28209198,5.568481244,9.625769072,22.67192343,35.94067162,0.744000017642975,1.37800002098083,1.11899995803833
61,,45.46056009,74.44430367,11.58993917,37.41441602,5.573686802,9.781107203,23.55393562,35.47629471,0.759999990463257,1.38399994373322,1.12999999523163
62,,45.82211121,74.32284823,11.81708026,38.56399749,5.58120967,9.951135834,24.43171321,35.01191779,0.768999993801117,1.36800003051758,1.12300002574921
63,,46.18753479,74.19222309,12.06370114,39.73083639,5.591479791,10.13711759,25.30452727,34.54754088,1.29299998283386,2.0460000038147,1.74199998378754
64,,80.02217385,91.15220456,49.29277182,66.12732578,,,,,10.039999961853,6.76599979400635,7.94000005722046
