Country,Year,Population_15To64_Percent,Population_65andUp_Percent,Population_Growth_Percent,Population_Female_Percent,Population_Male_Percent,Rural_Population_Percent,Rural_Population_Growth_Percent,Urban_Population_Percent,Urban_Population_Growth_Percent,Life_Exp_Birth_Total_Yr,Life_Exp_Birth_Male_Yr,Life_Exp_Birth_Female_Yr
Blank,0,Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),"Population, female (% of total population)","Population, male (% of total population)",Rural population (% of total population),Rural population growth (annual %),Urban population (% of total population),Urban population growth (annual %),"Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Life expectancy at birth, female (years)"
Bolivia,2016,61.1159325202546,6.90062395903339,1.48019596651052,49.7515732215404,50.2484267784596,31.262,0.38266471887251,68.738,1.98336548544829,70.626,67.898,73.512
Bolivia,2017,61.4195037816536,7.04587882180194,1.449144413215,49.7671683886137,50.2328316113863,30.92,0.349137887694883,69.08,1.94545151068789,70.945,68.173,73.878
Bolivia,2018,61.7345048621782,7.19194739218447,1.42189080360535,49.7833991301085,50.2166008698915,30.575,0.299853673569639,69.425,1.92006124026525,71.239,68.434,74.209
Bolivia,2019,62.0361066958508,7.33863164569056,1.39913335536684,49.7997064561749,50.2002935438251,30.227,0.254399034213555,69.773,1.89915147862023,71.513,68.684,74.508
Bolivia,2020,62.3098424992125,7.48720489751539,1.37952758307147,49.8157761794304,50.1842238205696,29.877,0.214879892360558,70.123,1.87989454478974,71.513,68.684,74.508
Philippines,2005,59.4496934594055,3.49175714223657,1.88936545844739,49.7410677546972,50.2589322453028,54.29,2.04605626458635,45.71,1.7035813985201,69.112,65.597,72.85
Philippines,2006,59.8326394157154,3.61518363998547,1.79372218827953,49.7145189639052,50.2854810360948,54.375,1.95016556342923,45.625,1.60759506372904,69.233,65.653,73.049
Philippines,2007,60.2691980341877,3.74084555575686,1.71110434098395,49.6704150647049,50.3295849352951,54.46,1.86730316890194,45.54,1.5246303575099,69.37,65.718,73.275
Philippines,2008,60.7820347997978,3.86655117961421,1.65996399032321,49.6204422067126,50.3795577932874,54.545,1.81592139326501,45.455,1.47313902132862,69.515,65.789,73.515
Philippines,2009,61.3382702680687,3.99581631204171,1.64985843674273,49.5799491162399,50.4200508837601,54.629,1.8037410331973,45.371,1.46488959420201,69.667,65.868,73.764
Philippines,2010,61.8715773808574,4.137042899629,1.6661133640265,49.5590846229238,50.4409153770762,54.668,1.73747764267828,45.332,1.58011949798707,69.823,65.957,74.012
Philippines,2011,62.1502102384586,4.21890539975651,1.69181178702327,49.5607028515806,50.4392971484194,54.478,1.34365428524541,45.522,2.11006541455797,69.984,66.062,74.25
Philippines,2012,62.4040331873293,4.30572595377332,1.70412578861596,49.580278342202,50.419721657798,54.288,1.35475124088678,45.712,2.1206381386484,70.149,66.185,74.471
Philippines,2013,62.6290412849277,4.39712513877222,1.69208799737211,49.6113826789298,50.3886173210702,54.097,1.33964171284373,45.903,2.10904926130128,70.315,66.326,74.673
Philippines,2014,62.8560671200588,4.49495151589232,1.64668215233623,49.644942431754,50.355057568246,53.907,1.29484290431261,46.093,2.05974425679116,70.481,66.48,74.851
Philippines,2015,63.1159012018934,4.60214198335079,1.57936252126472,49.6747169019451,50.3252830980549,53.716,1.22441947695549,46.284,1.99288590878621,70.644,66.644,75.007
Philippines,2016,63.3154079529544,4.76295798333335,1.50710255674413,49.6995721129761,50.3004278870239,53.525,1.15089397698612,46.475,1.91892435108991,70.802,66.81,75.143
Philippines,2017,63.5948947887491,4.93709669099723,1.44527760718223,49.721565687046,50.278434312954,53.318,1.05779332132528,46.682,1.88968865066574,70.952,66.971,75.268
Philippines,2018,63.9143910299006,5.12256876829946,1.39596533979435,49.7416573851815,50.2583426148185,53.093,0.973076809327311,46.907,1.87679119923213,71.095,67.123,75.387
Philippines,2019,64.209122714395,5.31499621959123,1.36449622326603,49.7615898506337,50.2384101493663,52.851,0.907649812439643,47.149,1.87908497058757,71.231,67.263,75.505
Philippines,2020,64.4456728195355,5.51164864430335,1.34542996462104,49.7825514321199,50.2174485678801,52.592,0.854167721331776,47.408,1.89324969217441,71.231,67.263,75.505
Indonesia,2005,65.3179695016299,4.80076514386639,1.33630464499704,49.8021768295465,50.1978231704535,54.058,-0.119982703096022,45.942,3.07746462438665,67.334,65.579,69.107
Indonesia,2006,65.6106420342572,4.86822283695836,1.32958175171436,49.7620176451538,50.2379823548462,53.262,-0.153859617501482,46.738,3.04736254502646,67.717,65.899,69.565
Indonesia,2007,65.8362151967401,4.91885191493575,1.32383420748243,49.7202454528533,50.2797545471467,52.465,-0.183851506328241,47.535,3.01470927794316,68.105,66.228,70.025
Indonesia,2008,66.003012310345,4.95243376514731,1.32333051767653,49.6807846935586,50.3192153064414,51.665,-0.21324010850987,48.335,2.99229541377777,68.485,66.554,70.474
Indonesia,2009,66.1197660488296,4.96738204410321,1.32921737939261,49.6484837597016,50.3515162402984,50.866,-0.229367256791318,49.134,2.96874980696441,68.853,66.872,70.905
Indonesia,2010,66.2093843916999,4.96251409255717,1.3377824768766,49.6264416270011,50.3735583729989,50.086,-0.207537485107733,49.914,2.91280934009964,69.205,67.182,71.311
Indonesia,2011,66.4316750583878,5.04413202554593,1.34790440280692,49.6159879216039,50.3840120783961,49.405,-0.0210845599133991,50.595,2.70302720446254,69.542,67.485,71.69
Indonesia,2012,66.607676400005,5.11756686476095,1.35169978721169,49.6155385750327,50.3844614249673,48.724,-0.0362916067632649,51.276,2.68870491926569,69.866,67.784,72.047
Indonesia,2013,66.7700526264127,5.19208238927228,1.34077086414715,49.6216263331123,50.3783736668877,48.045,-0.0625941318397963,51.955,2.65628613315295,70.179,68.081,72.383
Indonesia,2014,66.9535676661474,5.2785821188884,1.31094524538172,49.6294696315587,50.3705303684413,47.365,-0.114506066147422,52.635,2.6112791471733,70.481,68.371,72.698
