Health_Key,Country,Date,Adults_And_Children_Living_With_HIV,Adults_Newly_Infected_With_HIV,%Births_By_Skilled_Health_Staff,Capital_Health_Expenditure_%GDP,DeathByNonCommunicableDiseasePercent,Domestic_General_Health_Expenditure_%GDP,Hospital_Beds_Per_1000ppl,Immunization_HepB3_%OneYearOld,ImmunizationMeasles%Children12To23Months,Number_Under-five_Deaths,Nurses_And_Midwives_Per_1000ppl,Physicians_Per_1000ppl,Prevalence_of_Anemia_%Non-pregnant,Prevalence_of_Anemia_%Pregnant,Prevalence_of_Overweight_%Adult,Suicide_Mortality_Rate_per_100000ppl,Survival_To_Age_65_Female,Survival_To_Age_65_Male,Total_Alcohol_Consumption_Per_Capita,Tuberculosis_Death_Rate_per_100000ppl
132,United States,2009,120000.0,16000.0,99.3,0.70491374,69.7491443602475,7.87523222,3.08,92.0,90.0,30828.0,9.9177,0.6004,9.2,9.8,64.2,12.8,87.7368384,80.1723284,9.49,0.19
133,United States,2010,960000.0,34000.0,99.4,0.68704522,88.1043193118658,7.94476509,3.05,92.0,92.0,30050.0,12.5927,0.6004,9.4,10.0,64.8,13.1,87.8254466,80.3280566,9.36,0.2
134,United States,2011,990000.0,33000.0,99.3,0.7024169,88.1043193118658,7.92789316,2.97,91.0,92.0,29249.0,12.5927,0.6004,9.8,10.2,65.3,13.4,87.9140548,80.4837848,9.36,0.19
135,United States,2012,1000000.0,33000.0,99.3,0.70865661,88.1043193118658,7.90049934,2.93,90.0,91.0,28469.0,12.5927,0.6004,10.0,10.4,65.8,13.5,88.002663,80.639513,9.36,0.17
136,United States,2013,1000000.0,31000.0,99.2,0.69361621,88.1043193118658,7.94619036,2.89,91.0,92.0,27757.0,12.5927,0.6004,10.3,10.5,66.4,13.5,87.8964036,80.4498074,9.36,0.19
137,United States,2014,1100000.0,32000.0,98.5,0.64768839,88.1043193118658,8.23888111,2.83,92.0,92.0,27137.0,12.5927,0.6004,10.5,10.7,66.9,14.0,87.7901442,80.2601018,9.36,0.16
138,United States,2015,1100000.0,32000.0,99.1,0.64494258,88.042831442106,8.45250511,2.8,92.0,92.0,26612.0,12.5927,0.6004,10.7,10.8,67.4,14.4,87.6838848,80.0703962,9.82,0.16
139,United States,2016,1100000.0,32000.0,99.1,0.63860589,88.042831442106,8.55732727,2.77,93.0,92.0,26176.0,12.5927,0.6004,11.0,11.0,67.9,15.1,87.5776254,79.8806906,9.82,0.17
140,United States,2017,1100000.0,31000.0,99.1,0.67145181,88.042831442106,8.51218987,2.87,93.0,92.0,25817.0,14.5812,0.6004,11.2,11.1,67.9,15.9,87.471366,79.690985,9.82,0.17
141,United States,2018,1200000.0,30000.0,99.1,0.66255105,88.042831442106,8.47234249,2.87,91.0,92.0,25515.0,15.685,2.6036,11.5,11.3,67.9,15.7,87.5426358,79.8041226,9.87,0.17
142,United States,2019,1200000.0,29000.0,99.1,0.67703497,88.1449804799197,8.52492332,2.87,91.0,90.0,25248.0,15.685,2.6036,11.8,11.5,67.9,16.1,87.6139056,79.9172602,9.87,0.17
143,United States,2020,1200000.0,29000.0,99.1,0.67703497,88.1449804799197,8.52492332,2.87,91.0,90.0,24976.0,15.685,2.6036,11.8,11.5,67.9,16.1,87.6139056,79.9172602,9.87,0.17
